Title,Progress,Start,End
Finish long-term Gantt chat,100%,1/30/24,2/4/24
Research,,,
Neural network structure,10%,2/11/24,3/3/24
text-based training,0%,2/21/24,3/17/24
AI ethics,,3/2/24,3/30/24
Artefact Production,,,
Architect System,0%,3/18/24,4/7/24
Gather training data,0%,3/28/24,4/25/24
Write code,0%,4/5/24,5/5/24
Report,,,
Template report,0%,4/23/24,5/8/24
Write report,0%,5/12/24,6/9/24
Template presentation,0%,6/3/24,6/18/24
Write presentantion,0%,6/14/24,6/27/24
Finalising,,,
Finalise,0%,6/30/24,7/14/24
